,genre,duration_ms,danceability,energy,key,age,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,cluster
2960,technical groove metal,284456.7727272727,0.3759090909090909,0.9532727272727272,5.318181818181818,28.647322540473226,-7.042227272727273,0.08544545454545455,0.03488235727272727,0.19206080454545454,0.18641818181818184,0.2535318181818182,135.79122727272727,3.8636363636363638,4
2961,nightcore,209504.4090909091,0.6943636363636364,0.669409090909091,6.090909090909091,19.24097135740971,-9.236136363636364,0.11777272727272728,0.3779487545454545,0.043938643636363635,0.21433181818181818,0.6810909090909091,134.86736363636365,4.0,3
2962,hard techno,388034.5,0.777,0.5675,9.5,4.4369863013698625,-9.7575,0.048350000000000004,0.004455000000000001,0.44784999999999997,0.09154999999999999,0.42025,125.006,4.0,7
2963,"""[funky house",323095.3333333333,0.8333333333333334,0.8153333333333332,8.666666666666666,3.196347031963471,-6.333333333333333,0.13713333333333333,0.026600000000000002,0.17566666666666664,0.32826666666666665,0.7106666666666667,121.98933333333333,4.0,6
2964,american grindcore,195486.5,0.2245,0.9624999999999999,2.0,32.81369863013698,-14.674,0.0712,6.815e-06,0.9165,0.22144999999999998,0.10025,108.6135,4.0,5
2965,neo-traditional bluegrass,239135.2857142857,0.537,0.5285714285714286,7.0,17.246575342465754,-8.666714285714287,0.037,0.6172857142857143,0.010487371428571427,0.13242857142857142,0.5487142857142857,140.40728571428573,4.0,3
2966,afro dancehall,211619.9655172414,0.7411379310344827,0.7315775862068965,5.568965517241379,4.878483703353802,-5.249379310344827,0.15283103448275864,0.21139275862068962,0.014181024224137933,0.15441637931034483,0.6911206896551723,116.30563793103448,4.060344827586207,6
2967,alternative rock,246184.3258407977,0.4721200270407302,0.7071594169342572,5.327361838769646,28.292134342421726,-8.540841304715226,0.058828342065235774,0.1393421563444313,0.18276830151090076,0.20486400202805483,0.4869690045631234,125.89962041575114,3.931384147371979,4
2968,brazilian jazz,200232.07922535212,0.5211663732394367,0.37546267605633804,5.142605633802817,50.81785886552185,-14.175518485915491,0.053236619718309855,0.6945761003521128,0.21878247276408444,0.1845154929577465,0.5364975352112676,114.7222834507042,3.914612676056338,2
2969,minnesota hip hop,189610.04,0.7385200000000001,0.7045999999999999,6.12,8.033534246575341,-5.23804,0.17829599999999998,0.20985520000000002,0.007359876800000001,0.22939999999999997,0.56468,104.80168000000002,4.04,6
2970,japanese heavy metal,300377.12765957444,0.4149893617021277,0.8279148936170213,5.914893617021277,27.924613815214222,-7.277925531914893,0.08038617021276596,0.07193955909574469,0.12126104063829787,0.22013031914893616,0.37974414893617026,133.33756382978723,3.9414893617021276,4
